1,the,DT ,10000+,,,,,,,,,,,,,,,
2,be,VB ,10000+,,,,,,,,,,,,,,,
3,to,TO ,10000+,,,,,,,,,,,,,,,
4,a,DT ,10000+,,,,,,,,,,,,,,,
5,of,IN ,10000+,,,,,,,,,,,,,,,
6,in,RB ,10000+,,,,,,,,,,,,,,,
7,and,CC ,10000+,,,,,,,,,,,,,,,
8,have,VHP ,10000+,,,,,,,,,,,,,,,
9,it,PP ,10000+,,,,,,,,,,,,,,,
10,you,PP ,10000+,,,,,,,,,,,,,,,
11,that,RB ,10000+,,,,,,,,,,,,,,,
12,I,PP ,10000+,,,,,,,,,,,,,,,
13,not,RB ,10000+,,,,,,,,,,,,,,,
14,do,VVP ,10000+,,,,,,,,,,,,,,,
15,for,IN ,5000+,,,,,,,,,,,,,,,
16,he,PP ,5000+,,,,,,,,,,,,,,,
17,can,MD ,5000+,,,,,,,,,,,,,,,
18,on,RB ,5000+,,,,,,,,,,,,,,,
19,they,PP ,5000+,,,,,,,,,,,,,,,
20,this,DT ,5000+,,,,,,,,,,,,,,,
21,with,IN ,5000+,,,,,,,,,,,,,,,
22,as,RB ,5000+,,,,,,,,,,,,,,,
23,we,PP ,5000+,,,,,,,,,,,,,,,
24,at,IN ,5000+,,,,,,,,,,,,,,,
25,she,PP ,5000+,,,,,,,,,,,,,,,
26,what,WP ,1000+,,,,,,,,,,,,,,,
27,but,RB ,1000+,,,,,,,,,,,,,,,
28,go,VV ,1000+,,,,,,,,,,,,,,,
29,about,RB ,1000+,,,,,,,,,,,,,,,
30,her,PP ,1000+,,,,,,,,,,,,,,,
31,people,NNS ,1000+,,,,,,,,,,,,,,,
32,will,MD ,1000+,,,,,,,,,,,,,,,
33,from,IN ,1000+,,,,,,,,,,,,,,,
34,my,PP$ ,1000+,,,,,,,,,,,,,,,
35,one,CD ,1000+,,,,,,,,,,,,,,,
36,his,PP$ ,1000+,,,,,,,,,,,,,,,
37,by,IN ,1000+,,,,,,,,,,,,,,,
38,when,WRB ,1000+,,,,,,,,,,,,,,,
39,more,JJR ,1000+,,,,,,,,,,,,,,,
40,so,RB ,1000+,,,,,,,,,,,,,,,
41,there,RB ,1000+,,,,,,,,,,,,,,,
42,their,PP$ ,1000+,,,,,,,,,,,,,,,
43,time,NN ,1000+,,,,,,,,,,,,,,,
44,get,VV ,1000+,,,,,,,,,,,,,,,
45,make,VV ,1000+,,,,,,,,,,,,,,,
46,like,JJ ,1000+,,,,,,,,,,,,,,,
47,how,WRB ,1000+,,,,,,,,,,,,,,,
48,which,WDT ,1000+,,,,,,,,,,,,,,,
49,me,FW ,1000+,,,,,,,,,,,,,,,
50,take,VV ,1000+,,,,,,,,,,,,,,,
51,all,RB ,1000+,,,,,,,,,,,,,,,
52,no,UH ,1000+,,,,,,,,,,,,,,,
53,other,JJ ,1000+,,,,,,,,,,,,,,,
54,see,VV ,1000+,,,,,,,,,,,,,,,
55,would,MD ,1000+,,,,,,,,,,,,,,,
56,say,VVP ,1000+,,,,,,,,,,,,,,,
57,because,RB ,1000+,,,,,,,,,,,,,,,
58,than,IN ,1000+,,,,,,,,,,,,,,,
59,some,RB ,1000+,,,,,,,,,,,,,,,
60,want,VVP ,1000+,,,,,,,,,,,,,,,
61,if,IN ,1000+,,,,,,,,,,,,,,,
62,your,PP$ ,1000+,,,,,,,,,,,,,,,
63,know,VV ,1000+,,,,,,,,,,,,,,,
64,up,RB ,1000+,,,,,,,,,,,,,,,
65,look,NN ,1000+,,,,,,,,,,,,,,,
66,or,CC ,1000+,,,,,,,,,,,,,,,
67,think,VVP ,1000+,,,,,,,,,,,,,,,
68,many,JJ ,1000+,,,,,,,,,,,,,,,
69,them,PP ,1000+,,,,,,,,,,,,,,,
70,out,RB ,1000+,,,,,,,,,,,,,,,
71,come,VV ,1000+,,,,,,,,,,,,,,,
72,year,NN ,1000+,,,,,,,,,,,,,,,
73,work,NN ,1000+,,,,,,,,,,,,,,,
74,child,NN ,1000+,,,,,,,,,,,,,,,
75,very,RB ,1000+,,,,,,,,,,,,,,,
76,should,MD ,1000+,,,,,,,,,,,,,,,
77,well,UH ,1000+,,,,,,,,,,,,,,,
78,who,WP ,1000+,,,,,,,,,,,,,,,
79,way,NN ,1000+,,,,,,,,,,,,,,,
80,good,JJ ,1000+,,,,,,,,,,,,,,,
81,him,PP ,1000+,,,,,,,,,,,,,,,
82,our,PP$ ,1000+,,,,,,,,,,,,,,,
83,too,RB ,1000+,,,,,,,,,,,,,,,
84,use,NN ,1000+,,,,,,,,,,,,,,,
85,much,RB ,1000+,,,,,,,,,,,,,,,
86,only,RB ,1000+,,,,,,,,,,,,,,,
87,new,JJ ,1000+,,,,,,,,,,,,,,,
88,give,VV ,1000+,,,,,,,,,,,,,,,
89,just,RB ,1000+,,,,,,,,,,,,,,,
90,two,CD ,1000+,,,,,,,,,,,,,,,
91,man,UH ,1000+,,,,,,,,,,,,,,,
92,long,RB ,1000+,,,,,,,,,,,,,,,
93,why,WRB ,1000+,,,,,,,,,,,,,,,
94,first,JJ ,1000+,,,,,,,,,,,,,,,
95,old,JJ ,1000+,,,,,,,,,,,,,,,
96,now,RB ,1000+,,,,,,,,,,,,,,,
97,most,RBS ,1000+,,,,,,,,,,,,,,,
98,day,NN ,1000+,,,,,,,,,,,,,,,
99,show,NN ,1000+,,,,,,,,,,,,,,,
100,then,RB ,1000+,,,,,,,,,,,,,,,
101,right,RB ,1000+,,,,,,,,,,,,,,,
102,need,NN ,1000+,,,,,,,,,,,,,,,
103,where,WRB ,1000+,,,,,,,,,,,,,,,
104,after,RB ,1000+,,,,,,,,,,,,,,,
105,country,NN ,1000+,,,,,,,,,,,,,,,
106,change,NN ,1000+,,,,,,,,,,,,,,,
107,oh,UH ,1000+,,,,,,,,,,,,,,,
108,yes,UH ,1000+,,,,,,,,,,,,,,,
109,leave,VV ,1000+,,,,,,,,,,,,,,,
110,tell,VV ,1000+,,,,,,,,,,,,,,,
111,become,VVN ,1000+,,,,,,,,,,,,,,,
112,really,RB ,1000+,,,,,,,,,,,,,,,
113,feel,VVP ,1000+,,,,,,,,,,,,,,,
114,help,VV ,1000+,,,,,,,,,,,,,,,
